Grantor,Grantee,Zip Code,Fiscal Year,Amount,Description,Category,Fiscal Period,Date
Department of Housing and Community Development/Maryland Affordable Housing Trust (MAHT),Snow Hill School Limited Partnership,21613,2009,142700,rehab 31 housing units,Grant,1,06/30/2009 12:00:00 AM
Department of Business and Economic Development - Maryland Tourism Board,Prince Georges County Conference and Visitors Bureau,20774,2015,138042,Maryland Tourism Board-General Grant,Grant,1,06/30/2015 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,JEFF & ED HARRISON PARTNERSHIP,21797-9316,2012,68433,COVER CROP,Grant,1,06/30/2012 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,WILLIAM J DRYDEN,218513943,2016,62116.25,"OTHER GRANTS, SUBS & CONTRIBUTION",Grant,1,06/30/2016 12:00:00 AM
Commerce/Office of International Investment and Trade-,WORLD TRADE CENTER INSTITUTE,21202,2017,225000,Translational Research Award,Grant,1,06/30/2017 12:00:00 AM
Boards and Commissions - Governor's Office of Crime Control and Prevention,"HopeWorks of Howard County, Inc.",21045,2015,7922.36,Reimbursable funds from DHMH for SARC -  - Community Sexual Assault Prevention and Awareness,Grant,1,06/30/2015 12:00:00 AM
Department of Agriculture/MD Agricultural Fair Board,HOWARD COUNTY FAIR,21794,2013,60500,County Fair-in code,Grant,1,06/30/2013 12:00:00 AM
Department of Agriculture/Resource Conservation Grants,MARK R. SUMP,21625,2017,53224.5,Cover Crop,Grant,1,06/30/2017 12:00:00 AM
Department of Agriculture/COVER CROP,JOHN S SWAINE III,21662-1433,2014,76536.5,Cover Crop Program Grant,Grant,1,06/30/2014 12:00:00 AM
Department of Housing and Community Development/Base Realignment and Closure,Montgomery Housing Partnership Inc.,20904,2016,750000,Base Realignment and Closure,Loan,1,06/30/2016 12:00:00 AM
Department of Health and Mental Hygiene/Family Health Services & Primary Care,ARC of Montgomery County,20852,2012,399204,Medical Day Care,Grant,1,06/30/2012 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,Family & Children's Services of Central MD,21209-4914,2011,40599,Domestic Violence Comprehension,Grant,1,06/30/2011 12:00:00 AM
Department of Agriculture/COVER CROP,HOLLAND LAND COMPANY,23415,2014,146509.3,"Cover Crop Program Grant, Nutrient Mgt Grant",Grant,1,06/30/2014 12:00:00 AM
Department of Health and Mental Hygiene/Prevention & Health Promotion Administration,Baltimore Medical Systems,21213,2014,735252,Off. of Immigrant Health Refugee Health Screenings,Grant,1,06/30/2014 12:00:00 AM
Department of Business and Economic Development - Maryland State Arts Council,Class Acts Arts Inc,20910,2015,63662,MD State Arts Council Grants for Organizations (Operating support),Grant,1,06/30/2015 12:00:00 AM
Department of Agriculture/MARYLAND AGRICULTURAL FAIR BOARD,"MD AGRICULTURAL EDUCATION FOUNDATION, INC.",21078,2010,95000,AGRICULTURE  EDUCATION SUBSIDY,Grant,1,06/30/2010 12:00:00 AM
Maryland Energy Administration/MEEHA - Multifamily,Park View at Rosedale,21201-4002,2012,272500,Building Retrofits,Grant,1,06/30/2012 12:00:00 AM
Department of Transportation/Highway Safety Operating Program,DK CONSULTING,20777,2009,166407,TWIS design & computer program development,Grant,1,06/30/2009 12:00:00 AM
Maryland Higher Education Commission/Aid to Non Public Institutions,Loyola University of Maryland,21210,2016,5103994,Sellinger Formula Aid,Grant,1,06/30/2016 12:00:00 AM
Department of Housing and Community Development/Neighborhood Business Development (NBD) Capital,4 Fish LLC,21158,2017,50000,Neighborhood Business Development (NBD) Capital,Loan,1,06/30/2017 12:00:00 AM
Department of Natural Resources/STATE LAND ACQUISITION,Progressive Title Corp,21012,2012,525000,LVM Holdings - Mattawoman MEA Prop Acq,Grant,1,06/30/2012 12:00:00 AM
Judiciary/Office of the State Court Administrator,"Mid-Shore Pro Bono, Inc",21601,2011,65088,Pro bono referral program,Grant,1,06/30/2011 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,Community Conferencing Center,21218-5137,2010,66624,Juvenile Diversion - JRA,Grant,1,06/30/2010 12:00:00 AM
Boards and Commissions/Domestic Violence Core Services Program,"Sexual Assault/Spouse Abuse Resource Center, Inc. (SARC)",21014,2014,147828.95,Domestic Violence Prevention,Grant,1,06/30/2014 12:00:00 AM
Department of Natural Resources/Chesapeake & Atlantic Coastal Bays Trust Fund,Parks & People Foundation,21211,2011,67380.18,Stormwater Retrofits in WS 263,Grant,1,06/30/2011 12:00:00 AM
Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention,"CASA of Baltimore County, Inc.",21204,2017,56290,VOCA Victim Assistance Formula Grant Program,Grant,1,06/30/2017 12:00:00 AM
Boards and Commissions/Violence Against Women,"Family Crisis Center of Baltimore County, Inc.",21222,2013,245145.63,Enhanced Victim Intervention Services,Grant,1,06/30/2013 12:00:00 AM
Department of Business & Economic Development/Maryland State Arts Council,Walter's Art Museum,21201,2010,951233,Grant funding for Arts Organizations,Grant,1,06/30/2010 12:00:00 AM
Judiciary/Department of Family Administration,CASA of Prince George's County,20782,2009,123870,Advocacy for children in foster care,Grant,1,06/30/2009 12:00:00 AM
Naturally Occurring Retirement Communities (NORC) (Mont. Holocaust Survivors),"Jewish Federation of Greater Washington, Inc.",21215,2018,375000,Naturally Occurring Retirement Communities,Grant,1,06/30/2018 12:00:00 AM
Maryland Energy Administration/Freedom Fleet Voucher Program,MAA 500-519,0,2017,400000,Program provides financial assistance for the purchase of new and converted alternative fueled vehicles registered in Maryland,Grant,1,06/30/2017 12:00:00 AM
Boards and Commissions - Governor's Office of Crime Control and Prevention,Kennedy Krieger Institute,21213,2015,189583.19,VOCA Victim Assistance Formula Grant Program,Grant,1,06/30/2015 12:00:00 AM
Maryland Energy Administration/Combined Heat and Power Resilience Grant Program,Patapsco Wastewater Treatment Plant Combined Heat and Power Project,21226,2016,494320,Energy efficiency grants for audits/upgrades in  the commercial and industrial sector,Grant,1,06/30/2016 12:00:00 AM
Department of Juvenile Services/Juvenile Services Facilities Capital Grant Program,National Center for Children and Families,20817,2010,658764.31,"Design, Construct and Equip New Youth Activities Center",Grant,1,06/30/2010 12:00:00 AM
Maryland Department of Health/Maryland Community Health Resources Commission,Helping Up Mission,21202,2017,150000,Expand access to health care in underserved communities,Grant,1,06/30/2017 12:00:00 AM
Department Of Business and Economic Development/Maryland State Arts Council,"Caroline County Council of Arts, Inc.",21626,2013,87525,"GRANTEE will carry out its function as the official arts council for Caroline County, using COUNCIL funds for administrative and operating expenses, sub granting to local arts organizations, at least $2,000 for Artists in Education programming, and GRANTEE's programs and projects.",Grant,1,06/30/2013 12:00:00 AM
Judiciary/Public Utility Customer Investment Program,Fuel Fund of Maryland,21211,2014,8334145,Program expansion that increases residential household assistance in BGE service territory,Grant,1,06/30/2014 12:00:00 AM
Department of Human Resources/Family Investment Administration,CENTER FOR URBAN FAMILIES INC,21217,2013,138250,Funds are used to provide sector-specific skills training in targeted industries for customers of the Department of Human Resources over a two year period.,Grant,1,06/30/2013 12:00:00 AM
Department of Business and Economic Development - MD Economic Development Assistance Authority & Fund-MEDAAF,Emergent BioSolutions Inc,20879,2015,2000000,MD Economic Development Assistance Authority & Fund,Loan,1,06/30/2015 12:00:00 AM
Judiciary/Mediation & Conflict Resolution Office,"Washington County Community Mediation Center, Inc.",21740,2013,73387,Community mediation performance-based funding at Level 4.,Grant,1,06/30/2013 12:00:00 AM
Department of Health and Mental Hygiene/MD Community Health Resources Commission,Access to Wholistic & Productive Living,20774,2011,75000,Infant Mortality,Grant,1,06/30/2011 12:00:00 AM
Maryland Department of Education/OTHER INSTITUTIONS,BBBS OF CENTRAL MD & MD MENTORING RESOURCE CTR INC,21211,2014,76036,STATE AIDED INSTITUTIONS,Grant,1,06/30/2014 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,Maryland Network Against Domestic Violence,20715-1712,2011,19520,Statewide Domestic Violence Response Enhancement,Grant,1,06/30/2011 12:00:00 AM
Department of Business and Economic Development/MD Small Business Development Financing Authority,TRW PRICE CONSTRUCTION LLC,21217,2011,277944.84,MSBDFA Contract Finance Line of Credit,Loan,1,06/30/2011 12:00:00 AM
Maryland Department of Health/Maryland Community Health Resources Commission,"Way Station, Inc.",21705,2017,75000,Expand access to health care in underserved communities,Grant,1,06/30/2017 12:00:00 AM
Department of Business and Economic Development/Office of Business Services,MID SHORE REGIONAL COUNCIL,21601,2011,73500,Regional Economic Development Grant,Grant,1,06/30/2011 12:00:00 AM
Department of Agriculture/Resource Conservation Grants,POPLAR HILL FARMS LLC,21613,2017,63270,Cover Crop,Grant,1,06/30/2017 12:00:00 AM
Boards and Commissions - Governor's Office of Crime Control and Prevention,Community Advocates for Family & Youth,20791,2015,40747.64,Survivors of Homicide Grant Program,Grant,1,06/30/2015 12:00:00 AM
Maryland Department of Education/FOOD SERVICES PROGRAM,FOUNDATIONS MEDICAL ADULT DAY CARE,21090,2014,145205.83,CASH FOR COMMODITIES- CHILD CARE,Grant,1,06/30/2014 12:00:00 AM
Governor's Office of Crime Control and Prevention,"House of Ruth Maryland, Inc.",21218,2018,348509.4,Domestic Violence Prevention,Grant,1,06/30/2018 12:00:00 AM
Department of Agriculture/Resource Conservation Grants,SUNNY RIDGE FARM,208820000,2017,52362,Cover Crop,Grant,1,06/30/2017 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,"ARMACOST FARMS, INC.",21155,2012,54890,COVER CROP,Grant,1,06/30/2012 12:00:00 AM
"Department of Labor, Licensing and Regulation/WIA Statewide",Maryland Workforce Corporation,21108,2012,323687,WIA Statewide:  These grants are State Mandated grants and discretionary grants that benefit the WIA programs,Grant,1,06/30/2012 12:00:00 AM
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention",YWCA of Annapolis and Anne Arundel County,21012,2016,20707.16,Maryland Victims of Crime,Grant,1,06/30/2016 12:00:00 AM
Department of Business and Economic Development - MD Small Business Development Financing Authority (MSBDFA),Sandy Spring Bank,21046,2015,632438.57,MSBDFA - Guarantee Fund - Claim payment,Loan,1,06/30/2015 12:00:00 AM
Department of Transportation/OPERATING GRANTS-IN-AID,METRO WASHINGTON COUNCIL OF GOVERNMENTS,20002-4290,2014,4448859.04,Metropolitan Planning Organizations (MPO) requirements,Grant,1,06/30/2014 12:00:00 AM
Department Of Business and Economic Development/MD Economic Development Assistance Authority & Fund-MEDAAF,SODEXHO,14221,2014,780444.71,MD Economic Development Assistance Authority & Fund,Loan,1,06/30/2014 12:00:00 AM
"Military Department /Maryland Military Dept., MEMA",Elkridge Volunteer Fire Dept.,21227,2016,364102,Volunteer Company Assistance Fund,Grant,1,06/30/2016 12:00:00 AM
Department of Human Resources/Work Opportunities Program,The Work First Foundation,10017,2011,172000,"Funds are used to provide training and paid internship placement for ex-offenders residing in Baltimore City who are TCA head of household, non-custodial parents whose children reside in households that receive TCA or non-custodial parents whose children reside in household that have never received TCA",Grant,1,06/30/2011 12:00:00 AM
State Department of Education/School Quality Accountability,Sheppard Pratt Physicians Pa,21285-6815,2009,150000,Reconstitution-Other,Grant,1,06/30/2009 12:00:00 AM
Maryland Transit Administration/SECTION 5311 RURAL AREA A/SENIOR RIDE,COMPREHENSIVE HOUSING ASSOC,21215-3931,2017,51033.67,LOTS-OPERATING,Grant,1,06/30/2017 12:00:00 AM
Department of Aging - State Nutrition,"The Washington County Commission on Aging, Inc.",21740,2015,75637,Meals for Seniors,Grant,1,06/30/2015 12:00:00 AM
Maryland Department of Education/FOOD SERVICES PROGRAM,DON BOSCO CRISTO REY HIGH SCHOOL,20912,2014,76576.5,CASH FOR COMMODITIES- CHILD CARE,Grant,1,06/30/2014 12:00:00 AM
Maryland State Department of Education/CHILDREN AT RISK,LATIN AMERICAN YOUTH CENTER,20009,2017,340303,21st Century Community Learning Centers,Grant,1,06/30/2017 12:00:00 AM
Governor's Office of Community Initiatives/AmeriCorps Formula,Literacy Lab,20001,2017,198607,AmeriCorps State Service funding,Grant,1,06/30/2017 12:00:00 AM
FORECLOSURE MEDIATION,EASTSIDE COMMUNITY DEVELOPMENT CORP,21224,2018,95000,FORECLOSURE MEDIATION,Grant,1,06/30/2018 12:00:00 AM
Department of Aging/Congregate Housing,Diakon Lutheran Social Ministries,19562,2014,60500,Congregate Housing Services,Grant,1,06/30/2014 12:00:00 AM
Maryland Department of Education/CHILDREN AT RISK,MID-ATLANTIC EQUITY CONSORTIUM INC,20816,2014,148453.5,TWENTY FIRST CENTURY LEARNING,Grant,1,06/30/2014 12:00:00 AM
Boards and Commissions/Title II Formula - JJAC,Family League of Baltimore City (FLBC),21218,2013,79686.78,Disproportionate Minority Contact Reduction,Grant,1,06/30/2013 12:00:00 AM
Department of Housing and Community Development/Maryland Affordable Housing Trust,SMTCCAC Inc,20637,2012,48071,affordable Housing,Grant,1,06/30/2012 12:00:00 AM
Maryland Department of Education/Division of Early Childhood Development,PACT HELPING CHILDREN W/SPECIAL NEEDS,21244,2012,250000,BLOCK GRANT- QUALITY EXPANSION,Grant,1,06/30/2012 12:00:00 AM
CHILDREN AT RISK,ALEF BET MONTESSORI SCHOOL,20814,2018,76180,MARYLAND PRE-KINDERGARTEN EXPANSION,Grant,1,06/30/2018 12:00:00 AM
Maryland State Department of Education/TRANSITIONAL EDUCATION FUNDING,THE LEARNING CENTER,21740,2011,99000,HOYER,Grant,1,06/30/2011 12:00:00 AM
Department of Housing and Community Development - OAG Counseling,Unity Economic Development,20746,2015,100000,OAG,Grant,1,06/30/2015 12:00:00 AM
Department of Health and Mental Hygiene/MD Community Health Resources Commission,People Encouraging People,21211,2011,100000,Behavioral Health,Grant,1,06/30/2011 12:00:00 AM
Maryland Department of Education/DIVISION OF EARLY CHILDHOOD DEVELOPMENT,ANNIE E CASEY FOUNDATION DBA CASEY FAMILY SERVICES,21231-1407,2013,120000,RTTT - EARLY LEARNING CHALLENGE,Grant,1,06/30/2013 12:00:00 AM
Maryland Energy Administration/Mathias Agriculture EE Program,"McDonalds & Sons, Inc.",21645-3018,2014,75849.23,Mathias Agriculture Energy Efficiency grants,Grant,1,06/30/2014 12:00:00 AM
Maryland Higher Education Commission - Aid to Non Public Institutions,Loyola University of Maryland,21210,2015,4792570,Sellinger Formula Aid,Grant,1,06/30/2015 12:00:00 AM
Prevention and Health Promotion Administration,"Community Clinic, Inc.",20910,2018,618621,Family Planning Expansion,Grant,1,06/30/2018 12:00:00 AM
Department of Business and Economic Development/MD Economic Development Assistance Fund,TRP SUBURBAN SECOND INC,21202,2011,1300000,MEDAAF Grant,Loan,1,06/30/2011 12:00:00 AM
Department of Business & Economic Development/Maryland Enterprise Investment Fund,AKONNI BIOSYSTEMS INC,21701,2010,100000,Enterprise Investment Loan,Loan,1,06/30/2010 12:00:00 AM
Resource Conservation Grants,BLUE VALLEY FARM LLC,21132,2018,65000,COVER CROP,Grant,1,06/30/2018 12:00:00 AM
Access to Justice,Pro Bono Resource Center of Maryland,21201,2018,60000,Consumer Protection Project - Baltimore City & Prince George's,Grant,1,06/30/2018 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,DAVID L DENNY,216571818,2016,58350.5,COVER CROP,Grant,1,06/30/2016 12:00:00 AM
Maryland Energy Administration - C&I Deep Energy Retrofit Program,BH Brightview Mays Chapel (FY15),21093,2015,196839,Energy efficiency grants for audits/upgrades in the commercial and industrial sector,Grant,1,06/30/2015 12:00:00 AM
Department Of Business and Economic Development/Maryland Tourism Board,STAR-SPANGLED 200 INC,21202,2014,1511750,MD WAR OF 1812 BICENTENNIAL COMMISSION GRANT,Grant,1,06/30/2014 12:00:00 AM
Department of Housing and Community Development/NBD Capital Loan & Grants,Civil Justice Inc,21201,2012,155000,weatherization activities/products,Grant,1,06/30/2012 12:00:00 AM
Maryland State Department of Education/HEAD START,YMCA OF FREDERICK COUNTY MD,21701,2017,65540,Head Start,Grant,1,06/30/2017 12:00:00 AM
Department of Business and Economic Development/Office of Tourism Development,Capital Region USA,20001,2009,239500,Grant for Regional Marketing,Grant,1,06/30/2009 12:00:00 AM
Maryland State Department of Education/CHILDREN AT RISK,BALTIMORE CHILD FIRST AUTHORITY INC,21215,2017,173820,21st Century Community Learning Centers,Grant,1,06/30/2017 12:00:00 AM
Maryland Energy Administration - PV Canopies in Parking Lots Grant Program,Hub Labels,21740,2015,250000,Grant for solar canopy with charging stations in parking lots,Grant,1,06/30/2015 12:00:00 AM
Department of Aging - SALGHS,"The Washington County Commission on Aging, Inc.",21740,2015,60178,Assisted Living Group Housing Svs.,Grant,1,06/30/2015 12:00:00 AM
Governor's Office of Crime Control and Prevention,Asian Pacific Islander-Domestic Violence Resource Project,20044,2018,35474.44,Maryland Victims of Crime,Grant,1,06/30/2018 12:00:00 AM
Judiciary/Department of Family Administration,The Center for Children CASA (Court Appointed Special Advocates) of Southern MD),20646,2013,87935,Advocacy for children in Foster Care,Grant,1,06/30/2013 12:00:00 AM
MD ECONOMIC DEVELOP ASSISTANCE FUND-CAP,Coastal Sunbelt Produce LLC,20723,2018,1000000,MD Economic Development Assistance Authority & Fund Loan,Loan,1,06/30/2018 12:00:00 AM
Department Of Business and Economic Development/MD Economic Development Assistance Authority & Fund-MEDAAF,ROHDE & SCHWARZ USA INC,21046,2014,300000,MD Economic Development Assistance Authority & Fund,Loan,1,06/30/2014 12:00:00 AM
Department of Housing and Community Development/Weatherization - MD Energy Assistance,SMTCCAC Inc,20637,2011,80000,weatherization activities/products,Grant,1,06/30/2011 12:00:00 AM
Maryland Department of Education/FOOD SERVICES PROGRAM,ARC OF BALTIMORE,21212,2013,9835,CASH FOR COMMOD - CHILD CARE,Grant,1,06/30/2013 12:00:00 AM
Department of Business and Economic Development/Maryland Tourism Development Board,ANNAPOLIS & ANNE ARUNDEL CO CONFERENCE,21401,2011,153769,Cooperative Marketing Grant Program,Grant,1,06/30/2011 12:00:00 AM
Department of Health and Mental Hygiene/Maryland Health Care Commission,Crisfield Clinic LLC,21817,2015,20000,A telehealth grant to demonstrate the impact of remote patient monitoring on hospital readmissions in various settings to reduce hospital encounters,Grant,1,06/30/2015 12:00:00 AM
Employment Advancement Right Now (EARN) MD,Baltimore Cyber Range,21202,2018,400000,Provides grants to help businesses cultivate a skilled workforce.,Grant,1,06/30/2018 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,Maryland Network Against Domestic Violence,20715-1712,2011,24893.53,Lethality Assessment Program,Grant,1,06/30/2011 12:00:00 AM
Department of Human Resources/Social Services Administration,"ARC OF THE CENTRAL CHESAPEAKE REGION, INC",21401,2016,54593.46,"Funds are for advocating for and serving children and adults with intellectual disabilities and their families within the Chesapeake Region. Serving Anne Arundel, Caroline, Dorchester, Kent, Talbot and Queen Anne’s Counties.",Grant,1,06/30/2016 12:00:00 AM
Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention,"Fusion Partnerships, Inc.",21202,2017,34850,Byrne - Justice Assistance Grant (JAG) Program,Grant,1,06/30/2017 12:00:00 AM
Boards and Commissions - Governor's Office of Crime Control and Prevention,"HopeWorks of Howard County, Inc.",21045,2015,46484.66,Maryland Victims of Crime,Grant,1,06/30/2015 12:00:00 AM
Department Of Business and Economic Development/MD Economic Development Assistance Authority & Fund-MEDAAF,PRECISION FOR MEDICINE HOLDING INC,20814,2014,750000,MD Economic Development Assistance Authority & Fund,Loan,1,06/30/2014 12:00:00 AM
Department of Housing and Community Development/RENTAL HOUSING PRODUCTION PRG - SPECIAL,Foxtail Crossing II LP,21403,2012,1540000,housing loan,Grant,1,06/30/2012 12:00:00 AM
Department of Agriculture - Conservation Grants,Goldsborough J Stafford III,21632,2015,60246.5,COVER CROP,Grant,1,06/30/2015 12:00:00 AM
Department of Business and Economic Development - MD Biotechnology Center,"CORDEX Systems, INC.",21403,2015,80000,Biotechnology Center Grant - Translational Research Award,Grant,1,06/30/2015 12:00:00 AM
Department of Agriculture/Maryland Agricultural Cost Share (Capital - Bonds),"NAGEL, GEORGE",21632,2009,34947.5,Install Best Mgmt Practice (BMP) on Farm,Grant,1,06/30/2009 12:00:00 AM
Department of Aging/Congregate Housing,"Cedar Lane Senior Community III, Inc. - Cedar Lane Apts. I, II, III",20650,2013,71200,Congregate Housing Services,Grant,1,06/30/2013 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,Center for Abused Persons,20601,2011,30617,Services for Victims of Domestic Violence,Grant,1,06/30/2011 12:00:00 AM
Department of Commerce - Maryland Technology Commercialization Fund,Sol Vista Consulting LLC,20910,2015,100000,Commercialization Investment,Loan,1,06/30/2015 12:00:00 AM
Department of Natural Resources - Trust Fund Natural Filters Grants,Delmarva RC&D,21613,2015,259661.14,"Payments made on eight (8) grants for technical and scientific assistance; and, stream and wetland restoration.",Grant,1,06/30/2015 12:00:00 AM
Department of Agriculture/Maryland Agricultural Land Preservation Foundation,Indian Lake Farm,21155,2009,304000,Purchase development rights easement on farm,Grant,1,06/30/2009 12:00:00 AM
Department of Aging/Senior Care,"MAC, Inc.",21804,2012,469404,In Home Personal Client Svs.,Grant,1,06/30/2012 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,TROYER FARMS JV,21084,2016,50780,COVER CROP,Grant,1,06/30/2016 12:00:00 AM
Maryland Department of Aging/Senior Care,Washington County Commission on Aging,21740,2017,196276,Senior Care,Grant,1,06/30/2017 12:00:00 AM
Governor's Office of Crime Control and Prevention,MedStar St. Mary's Hospital,20650,2018,76203.3,Victims of Crime Act (VOCA) Victim Assistance Formula Grant Program,Grant,1,06/30/2018 12:00:00 AM
Department of Housing and Community Development/Maryland Affordable Housing Trust,Ihomes Inc,21046,2012,132000,affordable Housing,Grant,1,06/30/2012 12:00:00 AM
Department of Human Resources - Family Investment Administration,SEEDCO,10007,2015,647214.56,Funds are used to provide services through the food supplement outreach partnership between community based organizations and DHR with the approval from the Food and Nutrition Service (FNS).,Grant,1,06/30/2015 12:00:00 AM
Department of Agriculture/Maryland Agricultural Cost Share (Capital - Bonds),"CHOI, HYUNG",21804,2009,30068.5,Install Best Mgmt Practice (BMP) on Farm,Grant,1,06/30/2009 12:00:00 AM
Washington Metropolitan Area Transit Authority (WMATA) - OPERATING GRANTS,WMATA,20001-2610,2018,362457581,Washington Metropolitan Area Transit Authority (WMATA) Compact,Grant,1,06/30/2018 12:00:00 AM
Department of Housing and Community Development - OAG Counseling,Public Justice Center Inc,21201,2015,165000,OAG,Grant,1,06/30/2015 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,LEASE BROTHERS,21776,2011,51559,COVER CROP,Grant,1,06/30/2011 12:00:00 AM
Military Department/Maryland Emergency Management Agency (MEMA),WASH ADVENTIST HEALTH SYSTEM,20912,2017,181227.25,FEMA DR4261 Public Assistance,Grant,1,06/30/2017 12:00:00 AM
Combined Heat and Power (CHP) Resilience Grant Program,"Greenleaf Medical, LLC",21703,2018,425000,Grants to encourage implementation of Combined Heat & Power technologies in eligible industrial facilities,Grant,1,06/30/2018 12:00:00 AM
Judiciary/Mediation and Conflict Resolution Office,Community Mediation Center of Calvert County,20688,2012,54769,Community Mediation Performance-based Funding at Level 3.,Grant,1,06/30/2012 12:00:00 AM
Department of Business and Economic Development - Office of Strategic Initiatives and Industries,Dreamit Ventures LLC,78701,2015,50000,Strategic Industries Grant,Grant,1,06/30/2015 12:00:00 AM
Department of Transportation/Facilities and Capital Equip.,OLD MILL CONDOMINIUM III ASSOC INC. Total,21108,2011,158000,COMM ENHANCEMNT TRANSP GRANT,Grant,1,06/30/2011 12:00:00 AM
Department of Transportation/SECTION 5310 CAPITAL EQUIPMENT,WASHINGTON COUNTY COMMUNITY ACTION COUNCIL INC,21740-5508,2016,100185.88,Locally-Operated Transit Systems- OPERATING,Grant,1,06/30/2016 12:00:00 AM
Department of Housing and Community Development/Emergency Solutions Grant,United Way of Central Maryland,21203,2016,145713,Emergency Solutions Grant,Grant,1,06/30/2016 12:00:00 AM
Judiciary/Department of Family Administration,Southern Maryland Center for Family Advocacy,20636,2017,73150,Legal Services for victims of domestic violence,Grant,1,06/30/2017 12:00:00 AM
Maryland Energy Administration - LMI Community Grants,Community Action Council of Howard County  FY15,21406 - 3136,2015,999000,Energy Efficiency Grants for efficiency upgrades in the Low and Moderate Income sector.,Grant,1,06/30/2015 12:00:00 AM
Maryland Department of Education/Food Services Program,BALTIMORE METROPOLITAN ALUMNAE DELTA SIGMA THETA,21217-4817,2012,188146.42,FOOD SERVICE - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
Department of Health and Mental Hygiene - Prevention and Health Promotion Administration,"Baltimore Medical System, Inc.",21213,2015,88750,Cancer - Patient Reminder,Grant,1,06/30/2015 12:00:00 AM
Maryland Energy Administration - Mathias Agriculture Energy Efficiency Program,Tiffany & Nancy Farm FY15,21850,2015,57301,Mathias Agriculture Energy Efficiency grants,Grant,1,06/30/2015 12:00:00 AM
Military Department/Maryland Emergency Management Agency,MAIMONIDES ACADEMY Total,21215,2011,72750,Anti-Terrorism,Grant,1,06/30/2011 12:00:00 AM
Department of Aging/Senior Care,"Upper Shore Aging, Inc.",21620,2009,453533,In Home Personal Client Svs.,Grant,1,06/30/2009 12:00:00 AM
Maryland State Department of Education/DIV OF REHABILITATION SERVICES-HQ,RESOURCES FOR INDEPENDENCE INC,21502,2011,113355,Independent Living,Grant,1,06/30/2011 12:00:00 AM
Department Of Business and Economic Development/MD Biotechnology Center,ASCLEPIX THERAPEUTICS LLC,21093,2014,100000,Biotechnology Center Grant - Translational Research Award,Grant,1,06/30/2014 12:00:00 AM
Maryland Department of Education/Food Services Program,EL SHADDAI HEALTH CARE INC,21207,2012,206842.1,FOOD SERVICE - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
Department of Transportation/Highway Safety Operating,MOTHERS AGAINST DRUNK DRIVING,21046-2339,2010,71109,Highway safety /occupant protection,Grant,1,06/30/2010 12:00:00 AM
Department of Transportation/MARYLAND HIGHWAY SAFETY OFFICE,MARYLAND STATES ATTORNEYS ASSN,21043-3476,2016,302814,Min. Penalty for Rep. Off. For Driv w/Intox State and Community Highway,Grant,1,06/30/2016 12:00:00 AM
Maryland Department of Education/Food Services Program,ALL ABOUT CHILDREN LEARNING DAYCARE CENTER,21215,2012,58761.12,FOOD SERVICE - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
Department of Natural Resources/Chesapeake Bay Implementation Grant,Fair Hill Environmental Foundation,21921,2016,69987.87,Payments made to engage local students in the exploration of local watersheds to develop action plans and build stewardship.,Grant,1,06/30/2016 12:00:00 AM
Maryland Department of Education/FOOD SERVICES PROGRAM,THE LEARNING RAINBOW,21214,2014,65885.47,CASH FOR COMMODITIES- CHILD CARE,Grant,1,06/30/2014 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,MATTHEW M HOFF,217769513,2016,294515.4,"OTHER GRANTS, SUBS & CONTRIBUTION",Grant,1,06/30/2016 12:00:00 AM
Maryland Department of Education/FOOD SERVICES PROGRAM,FORT MEADE FAMILY & MORALE WELFARE & RECREATION,20755,2013,30968,CASH FOR COMMOD - CHILD CARE,Grant,1,06/30/2013 12:00:00 AM
Judiciary/Department of Family Administration,Community Conferencing Center,21211,2013,137122,Diversion in delinquency cases,Grant,1,06/30/2013 12:00:00 AM
Department Of Business and Economic Development/Maryland State Arts Council,JEWISH MUSEUM OF MARYLAND,21209,2014,51000,MD State Arts Council Grants for Organizations (Operating support),Grant,1,06/30/2014 12:00:00 AM
Boards and Commissions - Governor's Office of Crime Control and Prevention,Community Advocates for Family & Youth,20791,2015,13181.66,Children's Justice Act Committee,Grant,1,06/30/2015 12:00:00 AM
