Cohort Year,Local School System,School,High School Graduates,Enrollment,% of High School Graduates Enrolled,College Degree by 25,% of Enrollees with College Degree by 25,No College Degree by 25,% of Enrollees with No College Degree by 25, Median Quarterly Wages at 25 for High School Grads , Median Quarterly Wages at 25 for College Enrollees , Median Quarterly Wages at 25 with a College Degree , Median Quarterly Wages at 25 with No College Degree , Living Wage LLS/ County ,,,,,,,,
2009-10,Harford,HAVRE DE GRACE HIGH,162,78,48%,51,65%,27,35%," $7,270 "," $7,480 "," $7,848 "," $6,100 "," $7,782 ",,,,,,,,
2010-11,Harford,HAVRE DE GRACE HIGH,149,70,47%,38,54%,32,46%," $8,689 "," $9,050 "," $9,645 "," $8,564 "," $7,966 ",,,,,,,,
2011-12,Harford,HAVRE DE GRACE HIGH,164,67,41%,41,61%,26,39%," $8,374 "," $10,313 "," $11,822 "," $9,671 "," $8,114 ",,,,,,,,
2012-13,Harford,HAVRE DE GRACE HIGH,162,70,43%,41,59%,29,41%," $8,668 "," $12,974 "," $14,286 ", * ," $8,239 ",,,,,,,,
2013-14,Harford,HAVRE DE GRACE HIGH,146,74,51%,51,69%,23,31%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Harford,HAVRE DE GRACE HIGH,123,55,45%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Harford,HAVRE DE GRACE HIGH,138,73,53%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Harford,HAVRE DE GRACE HIGH,115,59,51%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Harford,HAVRE DE GRACE HIGH,150,75,50%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Harford,HAVRE DE GRACE HIGH,134,63,47%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Harford,HAVRE DE GRACE HIGH,148,62,42%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Harford,JOHN ARCHER SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,537 ",,,,,,,,
2008-09,Harford,JOHN ARCHER SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,601 ",,,,,,,,
2009-10,Harford,JOHN ARCHER SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,782 ",,,,,,,,
2010-11,Harford,JOHN ARCHER SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,966 ",,,,,,,,
2011-12,Harford,JOHN ARCHER SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,114 ",,,,,,,,
2012-13,Harford,JOHN ARCHER SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,239 ",,,,,,,,
2013-14,Harford,JOHN ARCHER SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Harford,JOHN ARCHER SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Harford,JOHN ARCHER SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Harford,JOHN ARCHER SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Harford,JOHN ARCHER SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Harford,JOHN ARCHER SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Harford,JOHN ARCHER SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Harford,JOPPATOWNE HIGH,221,43,20%,20,47%,23,54%," $8,870 "," $8,281 "," $9,777 "," $7,623 "," $7,537 ",,,,,,,,
2008-09,Harford,JOPPATOWNE HIGH,213,63,30%,24,38%,39,62%," $7,424 "," $8,117 "," $11,200 "," $6,643 "," $7,601 ",,,,,,,,
2009-10,Harford,JOPPATOWNE HIGH,160,63,39%,26,41%,37,59%," $7,826 "," $8,650 "," $8,621 "," $8,650 "," $7,782 ",,,,,,,,
2010-11,Harford,JOPPATOWNE HIGH,183,85,46%,37,44%,48,57%," $7,023 "," $8,086 "," $9,877 "," $6,979 "," $7,966 ",,,,,,,,
2011-12,Harford,JOPPATOWNE HIGH,195,74,38%,38,51%,36,49%," $7,671 "," $8,871 "," $9,133 "," $8,297 "," $8,114 ",,,,,,,,
2012-13,Harford,JOPPATOWNE HIGH,184,50,27%,28,56%,22,44%," $8,034 "," $9,271 ", * , * ," $8,239 ",,,,,,,,
2013-14,Harford,JOPPATOWNE HIGH,183,73,40%,31,43%,42,58%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Harford,JOPPATOWNE HIGH,138,40,29%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Harford,JOPPATOWNE HIGH,153,50,33%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Harford,JOPPATOWNE HIGH,126,52,41%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Harford,JOPPATOWNE HIGH,125,52,42%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Harford,JOPPATOWNE HIGH,146,44,30%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Harford,JOPPATOWNE HIGH,154,60,39%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Harford,NORTH HARFORD HIGH,332,108,33%,83,77%,25,23%," $8,897 "," $11,878 "," $12,573 ", * ," $7,537 ",,,,,,,,
2008-09,Harford,NORTH HARFORD HIGH,320,194,61%,128,66%,66,34%," $8,185 "," $9,143 "," $11,854 "," $6,701 "," $7,601 ",,,,,,,,
2009-10,Harford,NORTH HARFORD HIGH,314,188,60%,128,68%,60,32%," $9,220 "," $9,505 "," $10,725 "," $7,602 "," $7,782 ",,,,,,,,
2010-11,Harford,NORTH HARFORD HIGH,299,175,59%,126,72%,49,28%," $9,426 "," $10,630 "," $11,880 "," $8,097 "," $7,966 ",,,,,,,,
2011-12,Harford,NORTH HARFORD HIGH,332,184,55%,128,70%,56,30%," $10,816 "," $12,492 "," $14,225 "," $8,930 "," $8,114 ",,,,,,,,
2012-13,Harford,NORTH HARFORD HIGH,334,166,50%,136,82%,30,18%," $11,081 "," $13,717 "," $14,891 "," $7,536 "," $8,239 ",,,,,,,,
2013-14,Harford,NORTH HARFORD HIGH,335,193,58%,153,79%,40,21%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Harford,NORTH HARFORD HIGH,346,179,52%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Harford,NORTH HARFORD HIGH,295,174,59%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Harford,NORTH HARFORD HIGH,271,163,60%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Harford,NORTH HARFORD HIGH,284,164,58%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Harford,NORTH HARFORD HIGH,267,154,58%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Harford,NORTH HARFORD HIGH,291,142,49%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Harford,PATTERSON MILL HIGH SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,537 ",,,,,,,,
2008-09,Harford,PATTERSON MILL HIGH SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,601 ",,,,,,,,
2009-10,Harford,PATTERSON MILL HIGH SCHOOL,209,131,63%,98,75%,33,25%," $9,804 "," $11,335 "," $12,324 "," $6,508 "," $7,782 ",,,,,,,,
2010-11,Harford,PATTERSON MILL HIGH SCHOOL,216,140,65%,104,74%,36,26%," $9,753 "," $11,685 "," $13,364 "," $9,465 "," $7,966 ",,,,,,,,
2011-12,Harford,PATTERSON MILL HIGH SCHOOL,236,170,72%,123,72%,47,28%," $9,912 "," $10,501 "," $12,416 "," $8,971 "," $8,114 ",,,,,,,,
2012-13,Harford,PATTERSON MILL HIGH SCHOOL,217,135,62%,103,76%,32,24%," $9,151 "," $12,102 "," $13,467 "," $7,617 "," $8,239 ",,,,,,,,
2013-14,Harford,PATTERSON MILL HIGH SCHOOL,227,155,68%,125,81%,30,19%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Harford,PATTERSON MILL HIGH SCHOOL,221,152,69%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Harford,PATTERSON MILL HIGH SCHOOL,200,125,63%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Harford,PATTERSON MILL HIGH SCHOOL,205,158,77%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Harford,PATTERSON MILL HIGH SCHOOL,213,160,75%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Harford,PATTERSON MILL HIGH SCHOOL,190,124,65%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Harford,PATTERSON MILL HIGH SCHOOL,201,134,67%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Harford,RESTORATION ALTERNATIVE ACADEMY CHARTER SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,537 ",,,,,,,,
2008-09,Harford,RESTORATION ALTERNATIVE ACADEMY CHARTER SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,601 ",,,,,,,,
2007-08,Howard,ATHOLTON HIGH,350,260,74%,202,78%,58,22%," $8,176 "," $8,907 "," $10,259 "," $6,812 "," $7,537 ",,,,,,,,
2008-09,Howard,ATHOLTON HIGH,329,243,74%,196,81%,47,19%," $9,447 "," $10,610 "," $11,829 "," $6,020 "," $7,601 ",,,,,,,,
2009-10,Howard,ATHOLTON HIGH,335,251,75%,199,79%,52,21%," $9,163 "," $10,501 "," $11,792 "," $6,100 "," $7,782 ",,,,,,,,
2010-11,Howard,ATHOLTON HIGH,356,262,74%,212,81%,50,19%," $9,667 "," $10,520 "," $11,340 "," $6,436 "," $7,966 ",,,,,,,,
2011-12,Howard,ATHOLTON HIGH,346,266,77%,201,76%,65,24%," $10,065 "," $10,787 "," $12,714 "," $5,361 "," $8,114 ",,,,,,,,
2012-13,Howard,ATHOLTON HIGH,384,277,72%,228,82%,49,18%," $12,727 "," $14,237 "," $14,410 "," $9,321 "," $8,239 ",,,,,,,,
2013-14,Howard,ATHOLTON HIGH,362,289,80%,241,83%,48,17%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Howard,ATHOLTON HIGH,364,259,71%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Howard,ATHOLTON HIGH,345,258,75%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Howard,ATHOLTON HIGH,336,253,75%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Howard,ATHOLTON HIGH,343,277,81%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Howard,ATHOLTON HIGH,373,301,81%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Howard,ATHOLTON HIGH,367,252,69%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Howard,CEDAR LANE SPECIAL CENTER,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,537 ",,,,,,,,
2008-09,Howard,CEDAR LANE SPECIAL CENTER,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,601 ",,,,,,,,
2009-10,Howard,CEDAR LANE SPECIAL CENTER,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,782 ",,,,,,,,
2010-11,Howard,CEDAR LANE SPECIAL CENTER,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,966 ",,,,,,,,
2011-12,Howard,CEDAR LANE SPECIAL CENTER,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,114 ",,,,,,,,
2012-13,Howard,CEDAR LANE SPECIAL CENTER,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,239 ",,,,,,,,
2013-14,Howard,CEDAR LANE SPECIAL CENTER,^^,^^,^^,^^,^^,^^,^^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Howard,CEDAR LANE SPECIAL CENTER,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Howard,CEDAR LANE SPECIAL CENTER,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Howard,CEDAR LANE SPECIAL CENTER,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Howard,CEDAR LANE SPECIAL CENTER,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Howard,CEDAR LANE SPECIAL CENTER,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Howard,CEDAR LANE SPECIAL CENTER,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Howard,CENTENNIAL HIGH,348,262,75%,205,78%,57,22%," $9,423 "," $10,523 "," $12,056 "," $5,321 "," $7,537 ",,,,,,,,
2008-09,Howard,CENTENNIAL HIGH,352,262,74%,206,79%,56,21%," $9,884 "," $11,811 "," $12,591 "," $7,235 "," $7,601 ",,,,,,,,
2009-10,Howard,CENTENNIAL HIGH,364,265,73%,218,82%,47,18%," $9,197 "," $9,541 "," $12,526 "," $4,910 "," $7,782 ",,,,,,,,
2010-11,Howard,CENTENNIAL HIGH,368,281,76%,229,82%,52,19%," $11,616 "," $12,446 "," $13,495 "," $6,483 "," $7,966 ",,,,,,,,
2011-12,Howard,CENTENNIAL HIGH,328,255,78%,216,85%,39,15%," $9,971 "," $11,018 "," $13,429 "," $7,022 "," $8,114 ",,,,,,,,
2012-13,Howard,CENTENNIAL HIGH,396,298,75%,229,77%,69,23%," $12,545 "," $13,381 "," $14,801 "," $5,180 "," $8,239 ",,,,,,,,
2013-14,Howard,CENTENNIAL HIGH,352,297,84%,251,85%,46,16%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Howard,CENTENNIAL HIGH,332,240,72%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Howard,CENTENNIAL HIGH,351,267,76%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Howard,CENTENNIAL HIGH,350,288,82%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Howard,CENTENNIAL HIGH,379,319,84%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Howard,CENTENNIAL HIGH,370,304,82%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Howard,CENTENNIAL HIGH,415,323,78%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Howard,GLENELG HIGH,286,206,72%,170,83%,36,18%," $9,934 "," $9,793 "," $10,071 "," $4,104 "," $7,537 ",,,,,,,,
2008-09,Howard,GLENELG HIGH,273,193,71%,148,77%,45,23%," $10,607 "," $11,140 "," $11,547 "," $9,136 "," $7,601 ",,,,,,,,
2009-10,Howard,GLENELG HIGH,263,190,72%,149,78%,41,22%," $9,814 "," $10,219 "," $11,002 "," $8,046 "," $7,782 ",,,,,,,,
2010-11,Howard,GLENELG HIGH,307,225,73%,180,80%,45,20%," $10,027 "," $10,860 "," $11,985 "," $6,957 "," $7,966 ",,,,,,,,
2011-12,Howard,GLENELG HIGH,281,198,71%,164,83%,34,17%," $12,355 "," $13,318 "," $13,570 "," $9,147 "," $8,114 ",,,,,,,,
2012-13,Howard,GLENELG HIGH,314,215,69%,178,83%,37,17%," $12,115 "," $13,588 "," $14,018 "," $10,099 "," $8,239 ",,,,,,,,
2013-14,Howard,GLENELG HIGH,294,222,76%,188,85%,34,15%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Howard,GLENELG HIGH,304,211,69%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Howard,GLENELG HIGH,340,261,77%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Howard,GLENELG HIGH,305,242,79%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Howard,GLENELG HIGH,268,209,78%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Howard,GLENELG HIGH,287,232,81%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Howard,GLENELG HIGH,307,200,65%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Howard,HAMMOND HIGH,308,189,61%,127,67%,62,33%," $8,062 "," $10,053 "," $10,671 "," $7,241 "," $7,537 ",,,,,,,,
2008-09,Howard,HAMMOND HIGH,250,138,55%,94,68%,44,32%," $8,164 "," $8,861 "," $9,629 "," $5,370 "," $7,601 ",,,,,,,,
2009-10,Howard,HAMMOND HIGH,304,161,53%,103,64%,58,36%," $7,435 "," $7,879 "," $10,369 "," $5,869 "," $7,782 ",,,,,,,,
2010-11,Howard,HAMMOND HIGH,305,196,64%,133,68%,63,32%," $8,056 "," $7,997 "," $9,403 "," $6,720 "," $7,966 ",,,,,,,,
2011-12,Howard,HAMMOND HIGH,305,175,57%,122,70%,53,30%," $7,846 "," $8,480 "," $8,929 "," $7,447 "," $8,114 ",,,,,,,,
2012-13,Howard,HAMMOND HIGH,331,201,61%,142,71%,59,29%," $8,088 "," $9,317 "," $11,226 "," $7,199 "," $8,239 ",,,,,,,,
2013-14,Howard,HAMMOND HIGH,306,202,66%,136,67%,66,33%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Howard,HAMMOND HIGH,279,158,57%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Howard,HAMMOND HIGH,300,182,61%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Howard,HAMMOND HIGH,297,184,62%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Howard,HAMMOND HIGH,293,183,63%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Howard,HAMMOND HIGH,295,188,64%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Howard,HAMMOND HIGH,307,162,53%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Howard,HOMEWOOD SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,537 ",,,,,,,,
2008-09,Howard,HOMEWOOD SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,601 ",,,,,,,,
2009-10,Howard,HOMEWOOD SCHOOL,25,*,*,*,*,*,*," $5,660 ", * , * , * ," $7,782 ",,,,,,,,
2010-11,Howard,HOMEWOOD SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,966 ",,,,,,,,
2011-12,Howard,HOMEWOOD SCHOOL,33,*,*,*,*,*,*," $6,592 ", * , * , * ," $8,114 ",,,,,,,,
2012-13,Howard,HOMEWOOD SCHOOL,29,*,*,*,*,*,*," $6,441 ", * , * , * ," $8,239 ",,,,,,,,
2013-14,Howard,HOMEWOOD SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Howard,HOMEWOOD SCHOOL,29,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Howard,HOMEWOOD SCHOOL,34,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Howard,HOMEWOOD SCHOOL,31,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Howard,HOMEWOOD SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Howard,HOMEWOOD SCHOOL,28,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Howard,HOMEWOOD SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Howard,HOWARD HIGH,307,198,65%,142,72%,56,28%," $8,455 "," $9,310 "," $11,715 "," $6,315 "," $7,537 ",,,,,,,,
2008-09,Howard,HOWARD HIGH,332,225,68%,166,74%,59,26%," $8,931 "," $9,710 "," $11,594 "," $6,849 "," $7,601 ",,,,,,,,
2009-10,Howard,HOWARD HIGH,372,238,64%,177,74%,61,26%," $8,946 "," $10,012 "," $12,127 "," $7,285 "," $7,782 ",,,,,,,,
2010-11,Howard,HOWARD HIGH,358,237,66%,176,74%,61,26%," $9,725 "," $11,024 "," $12,443 "," $6,234 "," $7,966 ",,,,,,,,
2011-12,Howard,HOWARD HIGH,380,256,67%,195,76%,61,24%," $10,568 "," $12,365 "," $13,732 "," $6,827 "," $8,114 ",,,,,,,,
2012-13,Howard,HOWARD HIGH,426,297,70%,239,81%,58,20%," $9,824 "," $11,773 "," $13,734 "," $7,402 "," $8,239 ",,,,,,,,
2013-14,Howard,HOWARD HIGH,405,287,71%,224,78%,63,22%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Howard,HOWARD HIGH,414,273,66%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Howard,HOWARD HIGH,434,330,76%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Howard,HOWARD HIGH,399,308,77%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Howard,HOWARD HIGH,464,373,80%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Howard,HOWARD HIGH,414,306,74%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Howard,HOWARD HIGH,481,339,71%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Howard,LONG REACH HIGH,264,149,56%,96,64%,53,36%," $7,629 "," $7,749 "," $9,659 "," $6,206 "," $7,537 ",,,,,,,,
2008-09,Howard,LONG REACH HIGH,288,177,62%,109,62%,68,38%," $8,126 "," $8,461 "," $9,268 "," $7,888 "," $7,601 ",,,,,,,,
2009-10,Howard,LONG REACH HIGH,282,163,58%,99,61%,64,39%," $8,331 "," $8,335 "," $12,019 "," $6,693 "," $7,782 ",,,,,,,,
2010-11,Howard,LONG REACH HIGH,247,151,61%,88,58%,63,42%," $7,750 "," $8,437 "," $10,011 "," $6,449 "," $7,966 ",,,,,,,,
2011-12,Howard,LONG REACH HIGH,280,159,57%,103,65%,56,35%," $7,695 "," $8,519 "," $9,414 "," $6,624 "," $8,114 ",,,,,,,,
2012-13,Howard,LONG REACH HIGH,284,167,59%,116,70%,51,31%," $7,882 "," $8,540 "," $12,425 "," $7,292 "," $8,239 ",,,,,,,,
2013-14,Howard,LONG REACH HIGH,315,202,64%,143,71%,59,29%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Howard,LONG REACH HIGH,322,176,55%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Howard,LONG REACH HIGH,339,217,64%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Howard,LONG REACH HIGH,308,203,66%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Howard,LONG REACH HIGH,356,235,66%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Howard,LONG REACH HIGH,349,215,62%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Howard,LONG REACH HIGH,397,218,55%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Howard,MARRIOTTS RIDGE HIGH,263,191,73%,140,73%,51,27%," $9,910 "," $10,152 "," $10,829 "," $8,600 "," $7,537 ",,,,,,,,
2008-09,Howard,MARRIOTTS RIDGE HIGH,271,191,71%,147,77%,44,23%," $9,798 "," $10,258 "," $12,421 "," $6,191 "," $7,601 ",,,,,,,,
2009-10,Howard,MARRIOTTS RIDGE HIGH,305,221,73%,177,80%,44,20%," $11,700 "," $12,255 "," $12,544 "," $8,063 "," $7,782 ",,,,,,,,
2010-11,Howard,MARRIOTTS RIDGE HIGH,320,218,68%,174,80%,44,20%," $10,896 "," $11,479 "," $13,429 "," $6,950 "," $7,966 ",,,,,,,,
2011-12,Howard,MARRIOTTS RIDGE HIGH,332,245,74%,201,82%,44,18%," $11,135 "," $12,511 "," $13,685 "," $7,381 "," $8,114 ",,,,,,,,
2012-13,Howard,MARRIOTTS RIDGE HIGH,296,222,75%,179,81%,43,19%," $12,577 "," $12,708 "," $13,664 "," $7,334 "," $8,239 ",,,,,,,,
2013-14,Howard,MARRIOTTS RIDGE HIGH,333,267,80%,221,83%,46,17%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Howard,MARRIOTTS RIDGE HIGH,286,219,77%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Howard,MARRIOTTS RIDGE HIGH,287,227,79%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Howard,MARRIOTTS RIDGE HIGH,292,247,85%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Howard,MARRIOTTS RIDGE HIGH,298,257,86%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Howard,MARRIOTTS RIDGE HIGH,341,283,83%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Howard,MARRIOTTS RIDGE HIGH,356,273,77%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Howard,MOUNT HEBRON HIGH,311,192,62%,142,74%,50,26%," $9,024 "," $9,839 "," $10,691 "," $8,054 "," $7,537 ",,,,,,,,
2008-09,Howard,MOUNT HEBRON HIGH,331,241,73%,180,75%,61,25%," $10,561 "," $11,065 "," $12,021 "," $5,928 "," $7,601 ",,,,,,,,
2009-10,Howard,MOUNT HEBRON HIGH,347,247,71%,187,76%,60,24%," $9,763 "," $10,872 "," $13,115 "," $6,051 "," $7,782 ",,,,,,,,
