call_number,date,location,district,neighborhood,zip_code
P223514259,2022-12-17,6200 LAURELTON AV BALTIMORE MD,NE,Hamilton Hills,21214
P223522959,2022-12-18,1200 N STRICKER ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P222182385,2022-08-06,1000 ELLICOTT DY BALTIMORE MD,SW,Franklintown Road,21216
P222191466,2022-08-07,2200 WHITTIER AV BALTIMORE MD,WD,Parkview/Woodbrook,21217
P221142007,2022-04-24,3600 OLD FREDERICK RD BALTIMORE MD,SW,Irvington,21229
P221142237,2022-04-24,2600 E MADISON ST BALTIMORE MD,ED,Madison-Eastend,21205
P221143313,2022-04-24,2300 E MONUMENT ST BALTIMORE MD,ED,Milton-Montford,21205
P223531378,2022-12-19,GERMAN HILL RD and DUNDALK AV BALTIMORE MD,SE,Graceland Park,21224
P223534698,2022-12-19,N HOWARD ST and W READ ST BALTIMORE MD,CD,Mount Vernon,21201
P222204481,2022-08-08,300 S FULTON AV BALTIMORE MD,SD,Carrollton Ridge,21223
P222221385,2022-08-10,2400 PENNSYLVANIA AV BALTIMORE MD,WD,Penn North,21217
P221180315,2022-04-28,2900 MILES AV BALTIMORE MD,ND,Remington,21211
P221181169,2022-04-28,300 E MADISON ST BALTIMORE MD,ED,Penn-Fallsway,21202
P221192059,2022-04-29,500 CUMBERLAND ST BALTIMORE MD,WD,Druid Heights,21217
P223572119,2022-12-23,2000 MARYLAND AV BALTIMORE MD,ND,Charles North,21218
P223572669,2022-12-23,1600 BALMOR CT BALTIMORE MD,WD,Sandtown-Winchester,21217
P223573021,2022-12-23,2400 HALCYON AV BALTIMORE MD,NE,Lauraville,21214
P223573887,2022-12-23,W BELVEDERE AV and SUNSET RD BALTIMORE MD,ND,Levindale,21215
P223582133,2022-12-24,YORK RD and HARWOOD AV BALTIMORE MD,ND,Homeland,21212
P223592573,2022-12-25,3800 TOWANDA AV BALTIMORE MD,NW,Park Circle,21215
P222234467,2022-08-11,0 SHIPLEY ST BALTIMORE MD,SW,Shipley Hill,21223
P222252054,2022-08-13,2500 W NORTH AV BALTIMORE MD,WD,Coppin Heights/Ash-Co-East,21216
P221192915,2022-04-29,E MONUMENT ST and N CHESTER ST BALTIMORE MD,ED,Middle East,21205
P221194144,2022-04-29,2600 BLK E MONUMENT ST BALTIMORE MD,ED,McElderry Park,21205
P221212007,2022-05-01,0 S GREENE ST BALTIMORE MD,CD,University Of Maryland,21201
P221222818,2022-05-02,1700 BLK BRUNT ST BALTIMORE MD,CD,Upton,21217
P221224211,2022-05-02,WESTSIDE SHOPPING CENTER BALTIMORE MD,SW,Millhill,21223
P221233072,2022-05-03,METRO STATION - STATE CENTER BALTIMORE MD,CD,Madison Park,21201
P223611539,2022-12-27,600 CHERRY HILL RD BALTIMORE MD,SD,Cherry Hill,21225
P221454039,2022-05-25,W 0TH ST and CHESTNUT AV BALTIMORE MD,ND,Hampden,21211
P221461150,2022-05-26,2500 BOYD ST BALTIMORE MD,SW,Shipley Hill,21223
P220973556,2022-04-07,1700 THAMES ST BALTIMORE MD,SE,Fells Point,21231
P222264074,2022-08-14,1700 N CALHOUN ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P222270917,2022-08-15,HOLABIRD AV and DUNDALK AV BALTIMORE MD,SE,Graceland Park,21224
P222273215,2022-08-15,900 DUNDALK AV BALTIMORE MD,SE,Graceland Park,21224
P222282923,2022-08-16,0TH ST and ANNABEL AV BALTIMORE MD,SD,Brooklyn,21225
P222282984,2022-08-16,EDMONDSON AV and N FRANKLINTOWN RD BALTIMORE MD,WD,Penrose/Fayette Street Outreach,21223
P222283869,2022-08-16,4100 WEST BAY CT BALTIMORE MD,SD,Brooklyn,21225
P222292539,2022-08-17,1700 PENNSYLVANIA AV BALTIMORE MD,CD,Upton,21217
P222925018,2022-10-19,1500 MORELAND AV BALTIMORE MD,WD,Coppin Heights/Ash-Co-East,21216
P220011703,2022-01-01,DUNDALK AV and HOLABIRD AV BALTIMORE MD,SE,Graceland Park,21222
P220032451,2022-01-03,3900 CLARKS LN BALTIMORE MD,NW,Glen,21215
P220033252,2022-01-03,1300 N FREMONT AV BALTIMORE MD,WD,Sandtown-Winchester,21217
P220040369,2022-01-04,1800 W NORTH AV BALTIMORE MD,WD,Mondawmin,21217
P221242779,2022-05-04,400 W BALTIMORE ST BALTIMORE MD,CD,Downtown,21201
P221242852,2022-05-04,LAURENS ST and DIVISION ST BALTIMORE MD,CD,Upton,21217
P223184427,2022-11-14,BOSTON ST and DUNDALK AV BALTIMORE MD,SE,Graceland Park,21222
P223202596,2022-11-16,CHERRY HILL SHOPPING CENTER BALTIMORE MD,SD,Cherry Hill,21225
P223632447,2022-12-29,HARMAN AV and WASHINGTON BL BALTIMORE MD,SW,Morrell Park,21230
P223633420,2022-12-29,300 N PACA ST BALTIMORE MD,CD,Downtown,21201
P223634713,2022-12-29,1800 DUNDALK AV BALTIMORE MD,SE,Graceland Park,21222
P223643159,2022-12-30,3900 ELDERON AV BALTIMORE MD,NW,West Arlington,21215
P220984126,2022-04-08,5900 KAVON AV BALTIMORE MD,NE,Cedmont,21206
P220991315,2022-04-09,1700 E FAIRMOUNT AV BALTIMORE MD,SE,Washington Hill,21231
P221002948,2022-04-10,400 OXFORD CT BALTIMORE MD,CD,Upton,21201
P222304712,2022-08-18,S PAYSON ST and CHRISTIAN ST BALTIMORE MD,SD,Carrollton Ridge,21223
P222311441,2022-08-19,700 N BROADWAY BALTIMORE MD,ED,Gay Street,21205
P222312594,2022-08-19,4700 FALLS RD BALTIMORE MD,ND,Roland Park,21209
P222313357,2022-08-19,500 E 35TH ST BALTIMORE MD,ND,Waverly,21218
P222321599,2022-08-20,1800 N PORT ST BALTIMORE MD,ED,Broadway East,21213
P222331831,2022-08-21,1200 N CALVERT ST BALTIMORE MD,CD,Mid-Town Belvedere,21202
P222332404,2022-08-21,3600 HARLEM AV BALTIMORE MD,SW,Edgewood,21229
P222344003,2022-08-22,METRO STATION - PENN NORTH BALTIMORE MD,WD,Penn North,21217
P220041232,2022-01-04,E NORTH AV and N CHESTER ST BALTIMORE MD,ED,South Clifton Park,21213
P220041479,2022-01-04,600 YALE AV BALTIMORE MD,SW,Yale Heights,21229
P220051555,2022-01-05,3400 COPLEY RD BALTIMORE MD,NW,Ashburton,21215
P221281878,2022-05-08,WILDWOOD PY and EDMONDSON AV BALTIMORE MD,SW,Edmondson Village,21229
P221311445,2022-05-11,N FRANKLINTOWN RD and POPLAR GROVE ST BALTIMORE MD,WD,Mosher,21216
P222114129,2022-07-30,4200 THAYER CT BALTIMORE MD,SD,Brooklyn,21225
P222122836,2022-07-31,6000 BELAIR RD BALTIMORE MD,NE,Glenham-Belhar,21206
P222142074,2022-08-02,100 S STOCKTON ST BALTIMORE MD,SD,Hollins Market,21223
P223652339,2022-12-31,ROSE HILL TE and OLD YORK RD BALTIMORE MD,ND,Pen Lucy,21218
P223335345,2022-11-29,3000 THORNDALE AV BALTIMORE MD,NW,Central Park Heights,21215
P221022407,2022-04-12,4100 BUENA VISTA AV BALTIMORE MD,ND,Medfield,21211
P223354993,2022-12-01,1200 QUANTRIL WY BALTIMORE MD,NE,Armistead Gardens,21205
P223360089,2022-12-02,3600 PULASKI HY BALTIMORE MD,ED,Orangeville,21224
P223372219,2022-12-03,1500 RUSSELL ST BALTIMORE MD,SD,Carroll - Camden Industrial Area,21230
P223381171,2022-12-04,PENNSYLVANIA AV and W NORTH AV BALTIMORE MD,WD,Penn North,21217
P223382168,2022-12-04,1600 WILKENS AV BALTIMORE MD,SD,New Southwest/Mount Clare,21223
P220082877,2022-01-08,0 N CENTRAL AV BALTIMORE MD,SE,Jonestown,21202
P220083453,2022-01-08,W NORTH AV and DRUID HILL AV BALTIMORE MD,WD,Druid Heights,21217
P220090372,2022-01-09,1400 GITTINGS AV BALTIMORE MD,NE,Idlewood,21239
P220090449,2022-01-09,500 E PRESTON ST BALTIMORE MD,ED,Johnston Square,21202
P220090585,2022-01-09,200 N MOUNT ST BALTIMORE MD,WD,Franklin Square,21223
P222362992,2022-08-24,1700 DRUID HILL AV BALTIMORE MD,CD,Upton,21217
P221321739,2022-05-12,CLIFTON AV and GARRISON BL BALTIMORE MD,SW,Mount Holly,21216
P221351487,2022-05-15,1300 E LANVALE ST BALTIMORE MD,ED,Oliver,21213
P222163098,2022-08-04,MADISON AV and N EUTAW ST BALTIMORE MD,CD,Seton Hill,21201
P221050377,2022-04-15,5000 CRENSHAW AV BALTIMORE MD,NE,Frankford,21206
P221052255,2022-04-15,W LOMBARD ST and S AMITY ST BALTIMORE MD,SD,Hollins Market,21223
P221053570,2022-04-15,1300 W CROSS ST BALTIMORE MD,SD,Washington Village/Pigtown,21230
P221053714,2022-04-15,4900 FREDERICK AV BALTIMORE MD,SW,Beechfield,21229
P221060660,2022-04-16,2200 BARCLAY ST BALTIMORE MD,ED,Barclay,21218
P221063902,2022-04-16,500 BLK W LAFAYETTE AV BALTIMORE MD,CD,Upton,21217
P223410521,2022-12-07,3900 S HANOVER ST BALTIMORE MD,SD,Brooklyn,21225
P220102830,2022-01-10,EDMONDSON AV and EVERGREEN ST BALTIMORE MD,WD,Rosemont Homeowners/Tenants,21223
P220113249,2022-01-11,1700 CLIFTVIEW AV BALTIMORE MD,ED,Darley Park,21213
P220122016,2022-01-12,4200 CONNECTICUT AV BALTIMORE MD,SW,Irvington,21229
P220122337,2022-01-12,5000 LITCHFIELD AV BALTIMORE MD,NW,Langston Hughes,21215
P222381069,2022-08-26,MCHENRY ST and S GILMOR ST BALTIMORE MD,SD,New Southwest/Mount Clare,21223
P222384279,2022-08-26,1600 RAMSAY ST BALTIMORE MD,SD,New Southwest/Mount Clare,21223
P222392140,2022-08-27,500 N LUZERNE AV BALTIMORE MD,SE,McElderry Park,21205
P222191119,2022-08-07,MCELDERRY ST and N GLOVER ST BALTIMORE MD,SE,McElderry Park,21205
P222202299,2022-08-08,600 N MILTON AV BALTIMORE MD,SE,McElderry Park,21205
P222202832,2022-08-08,5400 BELLE AV BALTIMORE MD,NW,Howard Park,21207
P222212386,2022-08-09,2400 E NORTH AV BALTIMORE MD,ED,Broadway East,21213
P222212434,2022-08-09,N CALVERT ST and E BIDDLE ST BALTIMORE MD,CD,Mid-Town Belvedere,21202
P221083714,2022-04-18,2500 WESTPORT ST BALTIMORE MD,SD,Westport,21230
P223420951,2022-12-08,5200 YORK RD BALTIMORE MD,ND,Woodbourne-McCabe,21212
P223432452,2022-12-09,ROBERT ST and PENNSYLVANIA AV BALTIMORE MD,CD,Upton,21217
P223432640,2022-12-09,2500 W FAIRMOUNT AV BALTIMORE MD,SW,Shipley Hill,21223
P223432654,2022-12-09,400 N SMALLWOOD ST BALTIMORE MD,WD,Midtown-Edmondson,21223
P223433821,2022-12-09,METRO STATION - PENN NORTH BALTIMORE MD,WD,Penn North,21217
P223442527,2022-12-10,5900 BELAIR RD BALTIMORE MD,NE,Cedmont,21206
P220181609,2022-01-18,2500 TERRA FIRMA RD BALTIMORE MD,SD,Cherry Hill,21225
P222393390,2022-08-27,2600 SPELMAN RD BALTIMORE MD,SD,Cherry Hill,21225
P221394514,2022-05-19,5200 FRANKFORD AV BALTIMORE MD,NE,Frankford,21206
P221401624,2022-05-20,2600 FREDERICK AV BALTIMORE MD,SW,Shipley Hill,21223
P221401885,2022-05-20,2500 E MONUMENT ST BALTIMORE MD,ED,McElderry Park,21205
P221404032,2022-05-20,1800 N CHESTER ST BALTIMORE MD,ED,Broadway East,21213
P222261641,2022-08-14,WILSON ST and PENNSYLVANIA AV BALTIMORE MD,CD,Upton,21217
P221122355,2022-04-22,N FULTON AV and WOODBROOK AV BALTIMORE MD,WD,Penn North,21217
P221130565,2022-04-23,4200 PRIMROSE AV BALTIMORE MD,NW,Reisterstown Station,21215
P223454386,2022-12-11,100 N COLLINGTON AV BALTIMORE MD,SE,Butcher's Hill,21231
P223462719,2022-12-12,E FEDERAL ST and N WOLFE ST BALTIMORE MD,ED,Broadway East,21213
P223462740,2022-12-12,700 POPLAR GROVE ST BALTIMORE MD,SW,Franklintown Road,21216
P223474782,2022-12-13,1800 W FAYETTE ST BALTIMORE MD,WD,Franklin Square,21223
P223481524,2022-12-14,2500 PENNSYLVANIA AV BALTIMORE MD,WD,Penn North,21217
P220192900,2022-01-19,6400 REISTERSTOWN RD BALTIMORE MD,NW,Reisterstown Station,21215
P220221969,2022-01-22,PENNSYLVANIA AV and LAURENS ST BALTIMORE MD,CD,Upton,21217
P220222626,2022-01-22,800 W LOMBARD ST BALTIMORE MD,SD,Hollins Market,21201
P220230064,2022-01-23,2700 LATONA RD BALTIMORE MD,NE,Lauraville,21214
P220230763,2022-01-23,1200 SARGEANT ST BALTIMORE MD,SD,Washington Village/Pigtown,21223
P220242497,2022-01-24,MORGAN STATE UNIVERSITY BALTIMORE MD,NE,Morgan State University,21251
P222443299,2022-09-01,2500 W BELVEDERE AV BALTIMORE MD,ND,Levindale,21215
P222443842,2022-09-01,0 S BROADWAY BALTIMORE MD,SE,Washington Hill,21231
P222453328,2022-09-02,6200 REISTERSTOWN RD BALTIMORE MD,NW,Reisterstown Station,21215
P222454923,2022-09-02,300 PRESSTMAN ST BALTIMORE MD,CD,Madison Park,21217
P222455003,2022-09-02,3300 BENSON AV BALTIMORE MD,SW,Wilhelm Park,21229
P222472398,2022-09-04,RETREAT ST and PENNSYLVANIA AV BALTIMORE MD,WD,Penn North,21217
P222491280,2022-09-06,4600 REISTERSTOWN RD BALTIMORE MD,NW,Lucille Park,21215
P221433461,2022-05-23,200 N WASHINGTON ST BALTIMORE MD,SE,CARE,21231
P221444210,2022-05-24,700 DRUID PARK LAKE DR BALTIMORE MD,CD,Reservoir Hill,21217
P222262622,2022-08-14,6500 ROSEMONT AV BALTIMORE MD,NE,Rosemont East,21206
P222271134,2022-08-15,3700 OAKMONT AV BALTIMORE MD,NW,Langston Hughes,21215
P222271718,2022-08-15,100 DENISON ST BALTIMORE MD,SW,Allendale,21229
P222274505,2022-08-15,800 BERRY ST BALTIMORE MD,ND,Hampden,21211
P222281894,2022-08-16,2400 FAIT AV BALTIMORE MD,SE,Canton,21224
P222284963,2022-08-16,2500 PENNSYLVANIA AV BALTIMORE MD,WD,Penn North,21217
P222291980,2022-08-17,600 CHERRY HILL RD BALTIMORE MD,SD,Cherry Hill,21225
P221141433,2022-04-24,2300 PENNSYLVANIA AV BALTIMORE MD,WD,Sandtown-Winchester,21217
P221160022,2022-04-26,TOMPKINS ST and INNER CI BALTIMORE MD,SD,Curtis Bay,21225
P221161423,2022-04-26,1000 N GILMOR ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P223512362,2022-12-17,2400 REISTERSTOWN RD BALTIMORE MD,WD,Parkview/Woodbrook,21217
P223512510,2022-12-17,EDMONDSON AV and POPLAR GROVE ST BALTIMORE MD,WD,Penrose/Fayette Street Outreach,21223
P220262067,2022-01-26,1700 E EAGER ST BALTIMORE MD,ED,Middle East,21205
P220272568,2022-01-27,400 S STRICKER ST BALTIMORE MD,SD,New Southwest/Mount Clare,21223
P222492070,2022-09-06,LIGHT RAIL - CHERRY HILL BALTIMORE MD,SD,Cherry Hill,21230
P222502496,2022-09-07,3800 W BELVEDERE AV BALTIMORE MD,NW,Arlington,21215
P221451468,2022-05-25,1000 WEBB CT BALTIMORE MD,ED,Oldtown,21202
P221451936,2022-05-25,SECURITY PARK AND RIDE BALTIMORE MD,SW,West Hills,21229
P221452565,2022-05-25,1500 N DECKER AV BALTIMORE MD,ED,Berea,21213
P221461337,2022-05-26,1400 PENNSYLVANIA AV BALTIMORE MD,CD,Upton,21217
P222303942,2022-08-18,3600 SPRINGDALE AV BALTIMORE MD,NW,Forest Park,21216
P222324167,2022-08-20,W NORTH AV and PENNSYLVANIA AV BALTIMORE MD,WD,Penn North,21217
P221180975,2022-04-28,500 ARSAN AV BALTIMORE MD,SD,Brooklyn,21225
P221183634,2022-04-28,2200 ROSLYN AV BALTIMORE MD,SW,Mount Holly,21216
P223531676,2022-12-19,GOLD ST and MCCULLOH ST BALTIMORE MD,CD,Druid Heights,21217
P223531710,2022-12-19,3600 ELM AV BALTIMORE MD,ND,Hampden,21211
P223532628,2022-12-19,400 BLK E EAGER ST BALTIMORE MD,ED,Johnston Square,21202
P223533514,2022-12-19,1300 INVERNESS AV BALTIMORE MD,SW,Morrell Park,21230
P223552181,2022-12-21,MARYLAND AV and W 0ST ST BALTIMORE MD,ND,Charles North,21218
P223553954,2022-12-21,700 E BALTIMORE ST BALTIMORE MD,SE,Jonestown,21202
P220292165,2022-01-29,1900 E 30TH ST BALTIMORE MD,NE,Coldstream Homestead Montebello,21218
P220322359,2022-02-01,2200 W PRATT ST BALTIMORE MD,SW,Carrollton Ridge,21223
P220331644,2022-02-02,100 W NORTH AV BALTIMORE MD,CD,Charles North,21201
P220332275,2022-02-02,1600 E COLD SPRING LN BALTIMORE MD,NE,Stonewood-Pentwood-Winston,21218
P222540996,2022-09-11,3900 6TH ST BALTIMORE MD,SD,Brooklyn,21225
P221490004,2022-05-28,500 S FULTON AV BALTIMORE MD,SD,Carrollton Ridge,21223
P221491784,2022-05-29,HOLLINS ST and S SMALLWOOD ST BALTIMORE MD,SW,Boyd-Booth,21223
P221502338,2022-05-30,2800 HOLLINS FERRY RD BALTIMORE MD,SD,Lakeland,21230
P222331181,2022-08-21,1100 CHERRY HILL RD BALTIMORE MD,SD,Cherry Hill,21225
P222342777,2022-08-22,4400 PARK HEIGHTS AV BALTIMORE MD,NW,Central Park Heights,21215
P222362747,2022-08-24,W BELVEDERE AV and PARK HEIGHTS AV BALTIMORE MD,NW,Pimlico Good Neighbors,21215
P222372585,2022-08-25,W SARATOGA ST and N EUTAW ST BALTIMORE MD,CD,Downtown,21201
P222372678,2022-08-25,2000 LINDEN AV BALTIMORE MD,CD,Reservoir Hill,21217
P221213050,2022-05-01,5200 DENMORE AV BALTIMORE MD,NW,Arlington,21215
P221242795,2022-05-04,ABBOTT CT and VALLEY ST BALTIMORE MD,ED,Oldtown,21202
P221244422,2022-05-04,0 W CROSS ST BALTIMORE MD,SD,Federal Hill,21230
P221250622,2022-05-05,6600 HAMPNETT AV BALTIMORE MD,NE,Westfield,21214
P221613737,2022-06-10,ESTHER PL and N HIGHLAND AV BALTIMORE MD,SE,Baltimore Highlands,21224
P221622914,2022-06-11,1400 N BOND ST BALTIMORE MD,ED,Oliver,21213
P223562291,2022-12-22,100 N PACA ST BALTIMORE MD,CD,Downtown,21201
P223571806,2022-12-23,5100 CORDELIA AV BALTIMORE MD,NW,Langston Hughes,21215
P223573503,2022-12-23,3800 LIBERTY HEIGHTS AV BALTIMORE MD,NW,Callaway-Garrison,21215
P220333726,2022-02-02,1700 PENNSYLVANIA AV BALTIMORE MD,CD,Upton,21217
P220350154,2022-02-04,3800 EGERTON RD BALTIMORE MD,NW,Callaway-Garrison,21215
P220351825,2022-02-04,1700 PENNSYLVANIA AV BALTIMORE MD,CD,Upton,21217
P220352552,2022-02-04,ASHTON ST and S PAYSON ST BALTIMORE MD,SD,Carrollton Ridge,21223
P220372934,2022-02-06,2300 W FAYETTE ST BALTIMORE MD,WD,Penrose/Fayette Street Outreach,21223
P222552165,2022-09-12,3500 PELHAM AV BALTIMORE MD,NE,Belair-Edison,21213
P222552594,2022-09-12,300 N PACA ST BALTIMORE MD,CD,University Of Maryland,21201
P222554276,2022-09-12,ASHTON ST and S BENTALOU ST BALTIMORE MD,SW,Millhill,21223
P222562287,2022-09-13,3800 6TH ST BALTIMORE MD,SD,Brooklyn,21225
P222572541,2022-09-14,2600 BANISTER RD BALTIMORE MD,ND,Cylburn,21215
P222581180,2022-09-15,2100 HARFORD RD BALTIMORE MD,ED,Darley Park,21213
P222581428,2022-09-15,N EUTAW ST and W LEXINGTON ST BALTIMORE MD,CD,Downtown,21201
P221534531,2022-06-02,DUNDALK AV and HOLABIRD AV BALTIMORE MD,SE,Graceland Park,21222
P222401355,2022-08-28,3300 WALBROOK AV BALTIMORE MD,SW,Walbrook,21216
P222401687,2022-08-28,MCELDERRY ST and N PATTERSON PARK AV BALTIMORE MD,SE,McElderry Park,21205
P222402323,2022-08-28,3900 8TH ST BALTIMORE MD,SD,Brooklyn,21225
P222402478,2022-08-28,600 WYANOKE AV BALTIMORE MD,ND,Pen Lucy,21218
P221254018,2022-05-05,E 0TH ST and GREENMOUNT AV BALTIMORE MD,ED,East Baltimore Midway,21218
P221261752,2022-05-06,800 WASHINGTON BL BALTIMORE MD,SD,Washington Village/Pigtown,21230
P221290444,2022-05-09,1600 BENHILL AV BALTIMORE MD,SD,Curtis Bay,21226
P223624049,2022-12-28,100 S BOULDIN ST BALTIMORE MD,SE,Patterson Park Neighborhood,21224
P220411681,2022-02-10,3100 BRIGHTON ST BALTIMORE MD,SW,Rosemont,21216
P222591612,2022-09-16,400 PIERCE ST BALTIMORE MD,CD,Downtown,21201
P222592903,2022-09-16,N MONTFORD AV and E MADISON ST BALTIMORE MD,ED,Milton-Montford,21205
P222600153,2022-09-17,3700 ELM AV BALTIMORE MD,ND,Hampden,21211
P222603084,2022-09-17,6500 EASTERN AV BALTIMORE MD,SE,Pulaski Industrial Area,21224
P221572031,2022-06-06,1600 E MADISON ST BALTIMORE MD,ED,Gay Street,21205
P221574281,2022-06-06,S MONROE ST and WASHINGTON BL BALTIMORE MD,SD,Carroll Park,21230
P222404280,2022-08-28,800 POWERS ST BALTIMORE MD,ND,Hampden,21211
P222430075,2022-08-31,4100 WELDON PL W BALTIMORE MD,ND,Medfield,21211
P221302205,2022-05-10,3600 OLD FREDERICK RD BALTIMORE MD,SW,Irvington,21229
P221302341,2022-05-10,3600 OLD FREDERICK RD BALTIMORE MD,SW,Irvington,21229
P223644025,2022-12-30,500 W FRANKLIN ST BALTIMORE MD,CD,University Of Maryland,21201
P223651410,2022-12-31,0 S PACA ST BALTIMORE MD,CD,University Of Maryland,21201
P223651789,2022-12-31,4000 CEDARDALE RD BALTIMORE MD,NW,East Arlington,21215
P223652641,2022-12-31,MOUNT CLARE SHOPPING CENTER BALTIMORE MD,SD,Washington Village/Pigtown,21223
P220420456,2022-02-11,2500 AISQUITH ST BALTIMORE MD,NE,Coldstream Homestead Montebello,21218
P220422537,2022-02-11,1000 WILMOT CT BALTIMORE MD,ED,Oldtown,21202
P222612543,2022-09-18,3900 FORDLEIGH RD BALTIMORE MD,NW,Glen,21215
P222435193,2022-08-31,1700 RAMSAY ST BALTIMORE MD,SD,New Southwest/Mount Clare,21223
P222451332,2022-09-02,N STREEPER ST and E MONUMENT ST BALTIMORE MD,ED,Madison-Eastend,21205
P222452604,2022-09-02,N LAKEWOOD AV and MCELDERRY ST BALTIMORE MD,SE,McElderry Park,21205
P222454420,2022-09-02,2400 BLK WOODBROOK AV BALTIMORE MD,WD,Druid Heights,21217
P222455028,2022-09-02,6400 SEAFORTH ST BALTIMORE MD,SE,Holabird Industrial Park,21224
P220464024,2022-02-15,5800 WILLOWTON AV BALTIMORE MD,NE,Loch Raven,21239
P220470923,2022-02-16,2700 BAKER ST BALTIMORE MD,WD,Northwest Community Action,21216
P220474232,2022-02-16,1300 E LANVALE ST BALTIMORE MD,ED,Oliver,21213
P220482302,2022-02-17,DRUID HILL AV and W NORTH AV BALTIMORE MD,WD,Druid Heights,21217
P220482466,2022-02-17,6600 BELAIR RD BALTIMORE MD,NE,Cedmont,21206
P220492072,2022-02-18,4500 BELAIR RD BALTIMORE MD,NE,Frankford,21206
P220494067,2022-02-18,3800 W BELVEDERE AV BALTIMORE MD,NW,Arlington,21215
P222643656,2022-09-21,1200 BLOOMINGDALE RD BALTIMORE MD,SW,Winchester,21216
P222651401,2022-09-22,200 W BARRE ST BALTIMORE MD,SD,Otterbein,21201
P222654367,2022-09-22,3100 TIOGA PY BALTIMORE MD,NW,Burleith-Leighton,21215
P222462048,2022-09-03,MADISON AV and GOLD ST BALTIMORE MD,CD,Druid Heights,21217
P222471130,2022-09-04,4900 PALMER AV BALTIMORE MD,NW,Central Park Heights,21215
P222482525,2022-09-05,2200 TUCKER LN BALTIMORE MD,SW,Wakefield,21207
P222491985,2022-09-06,WESTSIDE SHOPPING CENTER BALTIMORE MD,SW,Millhill,21223
P222492710,2022-09-06,5000 IVANHOE AV BALTIMORE MD,ND,Winston-Govans,21212
P222500015,2022-09-07,2400 FREDERICK AV BALTIMORE MD,SW,Millhill,21223
P222502132,2022-09-07,FALLS RD and W COLD SPRING LN BALTIMORE MD,ND,Medfield,21209
P222502685,2022-09-07,3300 PIEDMONT AV BALTIMORE MD,NW,Hanlon-Longwood,21216
P221392168,2022-05-19,4900 WILBUR AV BALTIMORE MD,NE,Orchard Ridge,21205
P221392698,2022-05-19,5000 BLK ANTHONY AV BALTIMORE MD,NE,Frankford,21206
P221400364,2022-05-20,W GARRISON AV and REISTERSTOWN RD BALTIMORE MD,NW,Lucille Park,21215
P221432771,2022-05-23,PITCHER ST and ARGYLE AV BALTIMORE MD,CD,Upton,21217
P221761423,2022-06-25,100 N COLLINGTON AV BALTIMORE MD,SE,Butcher's Hill,21231
P220531635,2022-02-22,1700 MCHENRY ST BALTIMORE MD,SD,New Southwest/Mount Clare,21223
P222512926,2022-09-08,LAURENS ST and STODDARD AL BALTIMORE MD,CD,Druid Heights,21217
P222514017,2022-09-08,PRESSTMAN ST and N FREMONT AV BALTIMORE MD,WD,Upton,21217
P222531531,2022-09-10,GLENWOOD AV and YORK RD BALTIMORE MD,ND,York-Homeland,21212
P222541935,2022-09-11,400 N EAST AV BALTIMORE MD,SE,Ellwood Park/Monument,21224
P222550731,2022-09-12,700 BLK GOLD ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P222551090,2022-09-12,2100 DRUID HILL AV BALTIMORE MD,CD,Druid Heights,21217
P221453473,2022-05-25,2700 GWYNNS FALLS PY BALTIMORE MD,NW,Panway/Braddish Avenue,21216
P221463781,2022-05-26,SPENCE ST and HERKIMER ST BALTIMORE MD,SW,Morrell Park,21230
P220542632,2022-02-23,2900 CHERRYLAND RD BALTIMORE MD,SD,Cherry Hill,21225
P220542979,2022-02-23,WALBROOK AV and DENISON ST BALTIMORE MD,SW,Mount Holly,21216
P222562094,2022-09-13,600 PONTIAC AV BALTIMORE MD,SD,Brooklyn,21225
P222572903,2022-09-14,2500 E PRESTON ST BALTIMORE MD,ED,Berea,21213
P222575154,2022-09-14,GARRISON BL and BELVIEU AV BALTIMORE MD,NW,West Arlington,21215
P222580403,2022-09-15,GARY AV and DUNDALK AV BALTIMORE MD,SE,Graceland Park,21222
P221472288,2022-05-27,500 E 29TH ST BALTIMORE MD,ND,Better Waverly,21218
P221472414,2022-05-27,1000 E BALTIMORE ST BALTIMORE MD,SE,Jonestown,21202
P221484588,2022-05-28,700 W 40TH ST BALTIMORE MD,ND,Hampden,21211
P222612700,2022-09-18,600 N GLOVER ST BALTIMORE MD,SE,McElderry Park,21205
P220593281,2022-02-28,2500 VIOLET AV BALTIMORE MD,NW,Park Circle,21215
P221510868,2022-05-31,W NORTH AV and N CAREY ST BALTIMORE MD,WD,Penn North,21217
P221523923,2022-06-01,PENNSYLVANIA AV and W LAFAYETTE AV BALTIMORE MD,CD,Upton,21217
P221524404,2022-06-01,3900 SPRINGDALE AV BALTIMORE MD,NW,Central Forest Park,21207
P221533958,2022-06-02,BERWICK AV and ELSRODE AV BALTIMORE MD,NE,North Harford Road,21234
P222642819,2022-09-21,3300 LYNDALE AV BALTIMORE MD,NE,Four By Four,21213
P222652724,2022-09-22,2900 CARVER RD BALTIMORE MD,SD,Cherry Hill,21225
P222654851,2022-09-22,100 S PATTERSON PARK AV BALTIMORE MD,SE,Butcher's Hill,21231
